Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000116786.11,2040,2024,2715,2162,1757,1794
ENSG00000237938.5,0,0,0,3,1,0
ENSG00000162461.7,61,52,73,41,19,31
ENSG00000224459.1,0,0,0,24,7,2
ENSG00000162460.6,22,15,27,27,13,8
ENSG00000162458.12,506,825,454,5802,6699,4978
ENSG00000224321.1,10,20,20,7,10,14
ENSG00000233954.6,125,217,116,74,46,60
ENSG00000178715.8,92,125,78,45,36,26
ENSG00000179743.4,46,41,53,6,12,22
ENSG00000065526.10,2090,2495,2746,2178,1879,1669
ENSG00000270620.1,0,0,0,0,0,0
ENSG00000116809.11,521,557,579,649,567,658
ENSG00000234607.2,0,0,0,0,0,0
ENSG00000231353.1,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0
ENSG00000224966.4,0,0,0,0,0,0
ENSG00000183888.4,0,0,0,0,0,0
ENSG00000233078.1,0,0,0,0,0,0
ENSG00000173641.17,149,115,155,31,49,32
ENSG00000186510.11,59,67,214,5,0,0
ENSG00000232456.1,0,0,0,0,0,0
ENSG00000184908.17,6,11,12,6,4,0
ENSG00000185519.8,0,3,0,0,0,0
ENSG00000142627.12,1615,720,2247,69,94,114
ENSG00000227959.1,7,0,7,0,0,1
ENSG00000224621.1,3,1,2,0,0,0
ENSG00000234166.1,0,0,0,0,0,0
ENSG00000142632.16,71,59,61,93,68,58
ENSG00000237276.8,3,2,2,1,0,5
ENSG00000132881.11,118,75,117,51,61,98
ENSG00000233929.1,1,3,6,14,20,32
ENSG00000037637.10,1099,1052,1135,957,1056,868
ENSG00000055070.16,3338,3528,3784,2391,2248,2171
ENSG00000226457.1,0,2,0,0,0,0
ENSG00000187144.11,1,0,0,0,0,0
ENSG00000157191.19,1158,1399,1272,1425,1493,1306
ENSG00000226029.1,10,11,12,28,22,9
ENSG00000080947.14,86,86,86,112,147,95
ENSG00000206652.1,92,22,82,36,70,69
ENSG00000261135.1,3,5,0,1,2,0
ENSG00000224174.2,0,2,0,0,0,0
ENSG00000233421.4,35,32,26,35,17,21
ENSG00000277344.1,0,0,0,0,0,0
ENSG00000268991.2,0,1,0,0,0,0
ENSG00000225710.1,0,3,0,0,1,0
ENSG00000219481.10,380,737,426,735,431,799
ENSG00000271732.1,0,0,0,0,0,0
ENSG00000215908.10,437,787,512,499,306,324
ENSG00000283773.1,0,0,0,0,0,0
ENSG00000186301.8,144,124,154,285,101,111
ENSG00000282143.1,0,0,0,0,0,0
ENSG00000207513.1,11,6,17,0,5,20
ENSG00000237847.2,0,0,0,0,0,0
ENSG00000280114.1,0,0,1,36,13,2
ENSG00000236698.1,31,51,57,30,34,38
ENSG00000268869.5,7,3,6,115,46,14
ENSG00000279151.1,0,0,0,0,0,0
ENSG00000279132.2,0,0,0,0,0,0
ENSG00000282740.1,0,0,3,0,0,0
ENSG00000058453.16,247,687,161,497,564,404
ENSG00000227684.2,0,3,0,0,0,0
ENSG00000207389.1,27,4,5,9,10,11
ENSG00000186715.10,58,83,37,278,128,125
ENSG00000223643.6,0,0,0,0,8,0
ENSG00000230239.1,0,0,0,0,1,0
ENSG00000263811.1,0,0,0,0,0,0
ENSG00000228549.3,23,27,9,20,25,27
ENSG00000277234.1,0,0,0,0,0,0
ENSG00000238142.1,70,66,27,38,36,42
ENSG00000235241.1,0,1,0,0,0,0
ENSG00000207005.1,104,21,46,33,62,70
ENSG00000272426.1,3,3,2,0,0,1
ENSG00000117122.13,62,412,120,3465,3647,2892
ENSG00000226526.1,0,0,0,0,0,0
ENSG00000159363.17,654,828,595,2517,1879,1888
ENSG00000117118.9,1165,1356,1220,976,923,903
ENSG00000117115.12,6,13,14,37,76,40
ENSG00000204362.6,0,1,0,7,5,7
ENSG00000282843.1,0,0,0,0,0,0
ENSG00000142623.9,88,380,237,2695,5831,897
ENSG00000142619.4,0,3,1,4,2,0
ENSG00000266634.1,0,0,0,0,0,0
ENSG00000159339.13,0,10,0,7,17,17
